Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909,..,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1.8107,1.7729,1.6737,1.4526,1.4056,1.3735,1.4093,1.3633,1.0093,0.9402,0.9388,1.0172,0.9024,1.2763,1.4185,2.0642,3.9029,6.1659,7.8684,11.5231,9.8844,8.4287,7.9588,8.4272,7.6117,10.3972,11.8099,12.1046,12.1436,12.4864,11.298,11.6486,12.0684,..
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.4882026076758,17.6004672404128,17.7152595327158,17.8343849378999,17.9596489092802,18.0928569001719,18.2358143638901,18.3903267537499,18.5581995230666,18.7412381251552,18.9412480133309,19.1600346409089,19.3993593959593,19.7059095753667,20.1104530189181,20.5906579215423,21.1241481349633,21.6885475109053,22.2614799010924,22.8205691572485,23.3434391310979,23.8077136743646,24.1910166387726,24.4649118421568,24.6588345720126,24.8352821238871,24.9991645191406,25.1437258839803,25.2622103446137,25.3478620272481,25.3939250580909,25.4730529631167,25.7007352636188,..
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3761.15540576541,4145.91969834494,4517.79881384115,5151.39732484423,5563.79315082011,4943.00399871118,5387.56822958918,6086.00863561374,6582.01638790869,7232.99054955267,7590.49000137636,8025.28131314895,8483.29399553028,8964.31799702863,9564.02920336839,10262.9667962049,11056.3517677907,11430.6220336089,11829.0532917923,12153.1140578808,12463.5700560026,12873.4832044649,13366.5595256489,13876.81917653,14643.4892877063,15359.4611530571,16170.990493278,16761.1925261726,16457.7872245882,18212.8702466686,19388.8731331744,20481.0358398226,21641.0733223921,..
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.3632,2.2228,2.3443,2.0702,2.0552,1.5806,1.9149,3.0869,3.2329,3.4396,4.0067,4.2116,4.4144,4.1489,4.1351,4.246,4.195,4.2836,4.567,5.0007,4.5385,4.7703,5.1022,4.8756,4.5382,5.3613,5.3341,4.984,4.5676,5.1122,4.5239,4.2226,4.2437,..
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,418.273208912166,412.351824377392,441.348009597146,417.034611074232,447.838930515247,384.584954066613,426.818906731072,576.974269147942,581.374748988005,598.228317118281,661.11795163205,649.35788110735,716.623145884767,721.077407396492,707.890606549635,680.948166186712,712.287869024953,734.057809949862,731.053397459356,766.894617514824,699.444897699178,826.01838486232,844.590080017958,803.987448070775,840.619363568519,894.466399568989,904.739774695665,908.317252679183,855.185594249541,914.732925521475,884.57221529163,888.463855695385,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2414095,2377128,..
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.7184275131439,37.201625125729,37.728534048792,38.2956838868638,38.8996042444751,39.5368247261567,40.2038749364394,40.8972844798541,41.6135829609314,42.354513990929,43.1520419609419,44.0295089223208,44.9784925669394,45.9937666920583,47.0701050949378,48.2022815728384,49.3850699230207,50.6132439427449,51.8815774292716,53.2917382892465,53.8637553661449,54.2979678058548,54.7325813178673,55.1579291374894,55.5738734464276,55.980276426546,56.377000259892,56.7639071287255,57.1408592155544,57.5077187031778,57.8643477747383,58.2106086137857,58.5463634043555,..
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,11241.4154173757,10743.7063534104,10414.0348241407,10588.4433695754,10808.8788666941,10725.9673493368,11094.8875368585,11292.0372997165,11558.220469383,11742.5946761225,12213.1263531246,12835.1814413331,13226.7650481165,13738.495644436,13920.6940553701,14114.6745192683,14206.7767147039,14104.42817214,14496.4211312996,14641.9640935685,14697.5396133853,14778.1914257233,15073.7629403565,15239.5171456469,15511.6858768094,15427.6641894713,15343.4261222434,15199.1989965639,14194.1557479619,14496.8654697299,14782.2002970247,15159.3242373415,15501.9197003966,..
Algeria,DZA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,84.7835,82.975,81.1548,83.819,81.5084,79.6229,81.4406,84.9551,87.9391,85.8235,89.6877,96.5063,96.626,101.4002,105.5039,108.9161,113.7088,116.0891,118.6168,124.8035,140.2699,145.7286,155.033,164.5785,160.7458,166.3203,174.8053,181.6864,171.9505,181.3215,189.1886,190.5786,186.3584,..
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,902.220501427253,883.920900907848,833.35888667661,851.702645830746,808.685420917717,813.381549041801,828.485785729723,872.199058779228,873.657787057718,863.498325342364,911.440557642084,955.848483496115,954.298409338891,979.326457769033,1032.63866815022,1077.66189233078,1070.72807038599,1147.30600554253,1151.13889665565,1174.26806450034,1258.83718458975,1273.72242693806,1358.04787814425,1414.49702064392,1371.20207705232,1380.3468180174,1442.30211193457,1463.50985736009,1373.67832094406,1451.44517709293,1499.50999958517,1503.41406578063,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,26628568,27277048,27887279,28470191,29033044,29579301,30054133,30474354,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308,..
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.7052303119619,54.4778516978094,55.2466217950637,56.0131170977738,56.7789140999889,57.5455892957581,58.3146995318038,59.0844647469391,59.8521239445692,60.6177172788536,61.3812658601162,62.1427907986812,62.9023132048725,63.6598541890144,64.4154348614309,65.1690763324461,65.901485871159,66.5097384559521,67.1235057867459,67.7344007507578,68.3421258553675,68.9463836079277,69.5468765157615,70.1433070861612,70.7353778263851,71.3227912436551,71.905249845153,72.4824561380175,73.0541126293395,73.6199218261573,74.1795862354514,74.732808364138,75.2792907190618,..
American Samoa,ASM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,..
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,49038,50159,51251,52316,53353,54362,55334,56248,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.8200233343089,80.5535241084936,82.3063685835789,83.9957798929559,85.5389811700152,86.8531955481476,87.855646160744,88.4635561411951,88.6075809307222,88.553433064242,88.4330093344384,88.2572251046343,88.0361455323111,87.7798357749499,87.4983609900321,87.2017863350389,86.9001769674517,86.6035980447517,86.3190673549669,86.0284991724475,85.7161174344451,85.3846465194761,85.0351448001542,84.668670649093,84.2862824389061,83.8890385422071,83.4779973316097,83.0542171797274,82.6240780620716,82.2127091544092,81.794797704649,81.3721542708222,80.9446986961818,..
Andorra,AND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45246.53307101,42605.6595832451,42716.3656354,44375.0247238159,46386.0912022485,50032.3529125128,51092.2222352218,52921.0452609846,54809.1441679423,59109.0136806378,61188.6370851474,63656.1958332184,64353.4858113531,65114.8053663021,66390.293726491,65534.1168555171,60691.6051530637,57203.9708883731,58285.0577756981,60470.4662377044,58172.1323929474,57332.1585611366,59929.2444670501,62105.1542389675,64402.8092369468,63239.6577711911,63048.5985572834,63215.899791913,55488.4902991095,59332.2029100127,63913.3835079105,64631.2963909271,65928.3071971004,..
Andorra,AND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938,..
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.0108012203437,93.7590394297725,93.5443620126415,93.3528558674658,93.1706078927605,92.9837049870406,92.7782340488214,92.5402819766179,92.2559356689453,91.8949711110146,91.4605308311615,90.9887515425879,90.5157699584961,89.9563631945418,89.3789218918348,89.0500030517578,88.9407363930477,88.84433315185,88.7604726056609,88.6888340319763,88.6290967082924,88.5809399121053,88.544042920911,88.5180850122057,88.5027454634853,88.4977035522461,88.5080998493791,88.5391793666245,88.5907780427517,88.6627318165299,88.7548766267286,88.8201609217082,88.8850044816278,..
Angola,AGO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7447.49422684139,5483.27751126366,5379.47533872491,5983.18421691116,6567.67778259899,6810.21622212226,6895.02600537711,6817.05713550008,6796.40633958013,6848.68325514498,7523.81291488042,7518.88948314505,8081.75707952672,8895.37660461036,9588.82238860962,10437.5899897179,11134.7047183666,10933.2712187989,11077.1301919405,11037.6388778577,11519.9933863364,11626.1877218484,11721.664415634,11392.9059344932,10805.7122533667,10414.2358842987,10000.9443772509,9648.01103767178,8960.33797242389,8862.28133314521,8950.14259255142,8788.26106439635,8901.88736611562,..
Angola,AGO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,12.119,12.1418,11.4905,12.9537,15.6788,16.4022,17.0365,18.0315,16.512,16.1923,15.9155,17.3297,17.6903,15.6389,16.3203,17.0559,19.1195,21.0889,22.7399,23.6501,24.7162,28.5343,30.8873,33.0865,31.2748,27.9951,25.8142,26.9963,20.538,25.5641,26.6839,27.336,28.1004,..
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,487.66526325083,489.171805015051,480.041934528091,460.744687477655,455.930060729858,448.250287767476,429.96411434091,434.376831763019,428.222669261961,428.599480858479,429.424207435976,446.134132051678,433.557080102511,392.557802386847,422.909458684002,446.790005661844,472.064397001416,504.92416679274,487.281074343005,486.235365702241,531.24332255994,512.021802587495,447.160325436651,517.525209417242,462.934994006148,456.692217487614,405.179753107747,416.996507156148,397.633186643914,418.358996013843,423.122517600564,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849,..
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.5205765835195,41.7840948723822,43,44.2110025396864,45.4556005898678,46.7206500231881,47.993006712291,49.2595265298203,50.5070653484197,51.7224790407329,52.8926234794038,54.0043545370761,55.0445280863936,56,56.8939032662772,57.7564632930133,58.5851745819614,59.3775316348744,60.1310289535053,60.8431610396073,61.5114223949332,62.1333075212361,62.723115793241,63.51567832685,64.2992302517989,65.0850525086068,65.8732136723372,66.6637823180533,67.4568270208187,68.2524163556969,69.0506188977513,69.8515032220457,70.6551379036435,..
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,21330.2731918527,22051.4373204261,23081.6639123529,21639.6020640854,22597.314506816,23350.3093865169,23996.1144041367,24462.2034022412,25547.6120273679,24014.7754593511,23958.1638142071,25136.001691807,26303.6179046605,27692.634871178,30827.3416754916,33245.2678606765,32756.3067839753,28405.6900929523,25826.6086383235,25023.9174488179,25592.9066121735,25206.8458285339,25557.5249124716,25734.1516444171,26627.71453894,27199.1952402262,28878.6067675471,29651.8641526705,23930.6714995115,25745.4958067746,27941.7851474762,28474.0444178181,29371.637778586,..
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.1658,0.1617,0.1761,0.1842,0.1827,0.1933,0.1979,0.2005,0.1357,0.1326,0.1501,0.1637,0.1664,0.1725,0.1962,0.2146,0.2311,0.2667,0.2789,0.2128,0.2268,0.2598,0.2797,0.291,0.3149,0.2772,0.2872,0.3426,0.326,0.3315,0.343,0.3441,0.3562,..
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,1714.96080996964,1720.86771928502,1774.10550344896,1786.93821599922,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772,..
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.4264942344835,35.2418190034,34.9622518377762,34.6045871837806,34.1856194875816,33.7221431953478,33.2309527532477,32.7288426074498,32.2326072041227,31.7554348168059,31.2280374899146,30.6003743426951,29.905566716031,29.1737995723752,28.43525787418,27.7201265838981,27.0585906639822,26.4808350768849,26.0170447850587,25.694689859722,25.4555618588267,25.2475667667937,25.0899726107741,25,24.9239807471655,24.8500263836871,24.7781432093764,24.708337524045,24.6406156275043,24.574983819566,24.5114484000414,24.4500156687422,24.3906919254799,..
Argentina,ARG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19476.2840606477,20791.3451479504,21711.842788091,20819.4999479903,21695.5949515372,23172.1583398342,23783.1017185449,22714.5111302701,22281.3814299958,21066.4581290433,18571.7020471274,20005.1385113465,21591.449396517,23262.4075792816,24877.2493922296,26850.6645932771,27658.4853446831,25747.1976809995,28056.2570212342,29425.7593876084,28825.9666865361,29227.6601818437,28200.8152571318,28669.2061336796,27802.1057201498,28334.904184742,27367.115094108,26629.5529419501,23877.0931404855,26300.274261175,27825.0273492567,27230.3968496682,26771.9657650571,..
Argentina,ARG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,107.5265,111.2874,114.6933,116.2841,126.592,130.9503,138.0301,139.931,136.7561,131.3266,124.0151,135.1954,149.6663,153.6289,162.5613,173.0862,179.2241,164.8204,177.3162,184.8342,188.8365,193.179,190.0264,196.1938,194.1404,191.3736,189.8171,183.2687,168.1154,185.676,195.0411,189.8908,183.272,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1407.27675440761,1432.607502841,1530.52760849222,1507.19847475089,1534.09177637667,1567.39444751302,1648.11263598533,1666.81862190168,1643.32131961789,1518.56737304195,1484.25701881625,1590.61721067918,1740.90890259945,1712.4320350003,1784.01669776279,1845.91422802344,1889.40923801554,1722.74402909882,1826.05112368849,1865.25736115683,1897.60983922809,1928.54922885127,1911.61727736839,1919.75859208058,1889.87018853289,1874.82963739464,1806.77623499039,1777.41507710553,1623.92450833523,1741.51377200597,1808.76021335553,1832.06690004241,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159,..
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.4815873775619,87.7307713525095,87.964582650281,88.1853677511823,88.3954731355194,88.5972452835983,88.793030675725,88.9851757922053,89.1760271133454,89.3682951289372,89.5616701920513,89.752468256564,89.9397208794212,90.1233737736072,90.3033726521064,90.4796632279031,90.6521912139817,90.8209023233265,90.9930051940977,91.1072286738406,91.2041217246797,91.3014507719473,91.3975345472954,91.4923019108628,91.5856817228217,91.6776028433824,91.7679941327998,91.8567844513802,91.9439026594897,92.0292776175651,92.112838186126,92.1945132257907,92.2742315972952,..
Armenia,ARM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3136.72428260526,2958.88037185647,3200.89649468569,3480.7559365251,3717.33576522762,3879.17938009678,4211.51276778797,4406.96706718618,4589.00825039977,5044.11647826468,5731.35346609213,6569.26023440631,7299.40001858866,8362.90084037119,9525.23146779778,10898.8483795634,11727.4821272949,10143.2350796867,10438.5641904169,10990.177099035,11796.2741177994,12194.0189523843,12667.3757330249,13112.7600902915,13192.9940731731,14243.8749003795,15037.0452420712,16215.3607965094,15052.9359791136,15921.705281964,17886.1783877168,19402.7510915578,20078.7848984844,..
Armenia,ARM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,10.9766,5.1153,2.8083,3.5412,2.5941,3.3384,3.4727,3.1043,3.5697,3.6334,3.1014,3.4708,3.7592,4.4627,4.4457,5.1543,5.6485,4.502,4.2991,4.9041,5.6696,5.4929,5.7607,5.6172,5.3749,5.6892,5.9516,6.4247,6.9145,7.4634,7.7742,7.4987,7.4936,..
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1156.52854495764,634.938401584258,409.762251524819,497.307222678528,543.248963246472,573.598498068918,591.114376781768,578.924652970815,625.503227341883,624.555471332605,586.440648432386,622.582881402385,661.929679898088,798.544180515189,818.274997390362,918.181612522836,973.21714524559,851.338387705143,815.62798698571,896.948023835655,982.442415313472,959.801682347684,1045.97511363021,1084.52062940136,1043.09797203416,1105.96696981707,1072.33682481147,1163.09284675689,1233.30455891532,1271.52805556324,1347.59055747413,..,..,..
Armenia,ARM,"Population, total",SP.POP.TOTL,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500,..
